期間,株式コード,上場コード,銘柄名称,終値
2023/04,1470,,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００レバレッジ・イン,
2023/04,1471,,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００インバース・イン,
2023/04,1472,011,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース,580
2023/04,1473,011,Ｏｎｅ　ＥＴＦ　トピックス,2106
2023/04,1474,011,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,18815
2023/04,1475,011,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,2125
2023/04,1476,011,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,1942
2023/04,1477,011,ｉシェアーズ　ＭＳＣＩ　日本株最小分散,2034
2023/04,1478,011,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利,2580
2023/04,1479,011,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備,25250
2023/04,1480,011,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指,20500
2023/04,1481,011,上場インデックスファンド日本経済貢献株,2167
2023/04,1482,011,ｉシェアーズ・コア　米国債７－１０年　Ｅ,1923
2023/04,1483,011,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投,2140
2023/04,1484,011,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人,2138
2023/04,1485,011,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投,31690
2023/04,1486,011,上場インデックスファンド米国債券（為替ヘ,22225
2023/04,1487,011,上場インデックスファンド米国債券（為替ヘ,14840
2023/04,1488,011,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,1930
2023/04,1489,011,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５,45910
2023/04,1490,011,上場インデックスファンドＭＳＣＩ日本株高配当,7731
2023/04,1491,012,中外鉱業,32
2023/04,1492,011,ＭＡＸＩＳ　ＪＰＸ　日経中小型株指数上場,16145
2023/04,1493,011,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,16085
2023/04,1494,011,Ｏｎｅ　ＥＴＦ　高配当日本株,22305
2023/04,1495,011,上場インデックスファンドアジアリート,10735
2023/04,1496,011,ｉシェアーズ　米ドル建て投資適格社債　Ｅ,1989
2023/04,1497,011,ｉシェアーズ　米ドル建てハイイールド社債,1922
2023/04,1498,011,Ｏｎｅ　ＥＴＦ　ＥＳＧ,15820
2023/04,1499,011,ＭＡＸＩＳ日本株高配当７０マーケットニュ,8735
2023/04,1501,,三井鉱山,
2023/04,1503,,住石マテリアルズ,
2023/04,1514,012,住石ホールディングス,330
2023/04,1515,011,日鉄鉱業,3665
2023/04,1518,011,三井松島ホールディングス,3165
2023/04,1540,011,純金上場信託（現物国内保管型）,8172
2023/04,1541,011,純プラチナ上場信託（現物国内保管型）,4245
2023/04,1542,011,純銀上場信託（現物国内保管型）,9879
2023/04,1543,011,純パラジウム上場信託（現物国内保管型）,59970
2023/04,1544,,上場インデックスファンド日本株式（ＭＳＣ,
2023/04,1545,011,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動,18060
2023/04,1546,011,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価,44730
2023/04,1547,011,上場インデックスファンド米国株式（Ｓ＆Ｐ,6070
2023/04,1548,,上場インデックスファンド中国Ｈ株（ハンセ,
2023/04,1549,,上場インデックスファンドＮｉｆｔｙ５０先,
2023/04,1550,011,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）,3937
2023/04,1551,011,東証スタンダードＴＯＰ２０ＥＴＦ,4345
2023/04,1552,011,国際のＥＴＦ　ＶＩＸ短期先物指数,1055
2023/04,1554,011,上場インデックスファンド世界株式（ＭＳＣ,3282
2023/04,1555,011,上場インデックスファンド豪州リート（Ｓ＆,1660
2023/04,1556,,上場インデックスファンド日経中国関連株５,
2023/04,1559,011,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０,3365
2023/04,1560,011,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マ,4285
2023/04,1561,,国際のＥＴＦ　ＶＩＸ中期先物指数,
2023/04,1562,,ＹＯＵＲＭＩＲＡＩ　アジア関連日本株指数,
2023/04,1563,011,東証グロース・コアＥＴＦ,2428
2023/04,1565,,日経カバードコール指数上場投信,
2023/04,1566,011,上場インデックスファンド新興国債券,44550
2023/04,1567,,ＭＡＸＩＳトピックスリスクコントロール（,
2023/04,1568,011,ＴＯＰＩＸブル２倍上場投信,27500
2023/04,1569,011,ＴＯＰＩＸベア上場投信,1863.5
2023/04,1570,011,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ,15790
2023/04,1571,011,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース,894
2023/04,1572,011,中国Ｈ株ブル２倍上場投信,4549
2023/04,1573,011,中国Ｈ株ベア上場投信,10400
2023/04,1574,,ＭＡＸＩＳトピックスリスクコントロール（,
2023/04,1577,011,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７,26315
2023/04,1578,011,上場インデックスファンド日経２２５（ミニ,2318
2023/04,1579,011,日経平均ブル２倍上場投信,16870
2023/04,1580,011,日経平均ベア上場投信,2370
2023/04,1585,011,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉ,1596.5
2023/04,1586,011,上場インデックスファンドＴＯＰＩＸ　Ｅｘ,1730
2023/04,1591,011,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデッ,18555
2023/04,1592,011,上場インデックスファンドＪＰＸ日経インデ,1715
2023/04,1593,011,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００,19110
2023/04,1595,011,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,1903
2023/04,1596,011,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆ,1765
2023/04,1597,011,ＭＡＸＩＳ　Ｊリート上場投信,1920
2023/04,1598,,ＮＥＸＴ　ＦＵＮＤＳ　Ｒ／Ｎファンダメン,
