期間,株式コード,上場コード,銘柄名称,取引所
2023/04,1413,,ヒノキヤグループ,
2023/04,1414,11,ショーボンドホールディングス,1
2023/04,1416,,日本インテグランドホールディン,
2023/04,1417,11,ミライト・ワン,1
2023/04,1418,12,インターライフホールディングス,1
2023/04,1419,11,タマホーム,1
2023/04,1420,12,サンヨーホームズ,1
2023/04,1427,,ＨＡＢＩＴＡ　ＣＲＡＦＴ,
2023/04,1429,11,日本アクア,1
2023/04,1430,11,ファーストコーポレーション,1
2023/04,1431,14,Ｌｉｂ　Ｗｏｒｋ,1
2023/04,1432,15,動力,1
2023/04,1433,11,ベステラ,1
2023/04,1434,12,ＪＥＳＣＯホールディングス,1
2023/04,1435,11,Ｒｏｂｏｔ　Ｈｏｍｅ,1
2023/04,1436,14,フィット,1
2023/04,1437,,ピースリビング,
2023/04,1438,12,岐阜造園,1
2023/04,1439,12,安江工務店,1
2023/04,1440,15,やまぜんホームズ,1
2023/04,1443,12,技研ホールディングス,1
2023/04,1444,14,ニッソウ,1
2023/04,1445,15,ひかりホールディングス,1
2023/04,1446,12,キャンディル,1
2023/04,1447,14,ＩＴｂｏｏｋホールディングス,1
2023/04,1448,,スペースバリューホールディング,
2023/04,1449,80,ＦＵＪＩジャパン,8
2023/04,1450,12,田中建設工業,1
2023/04,1451,12,ＫＨＣ,1
2023/04,1452,15,横浜ライト工業,1
2023/04,1456,11,ｉＦｒｅｅＥＴＦ　日経平均インバース・イ,1
2023/04,1457,11,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（,1
2023/04,1458,11,楽天ＥＴＦ－日経レバレッジ指数連動型,1
2023/04,1459,11,楽天ＥＴＦ－日経ダブルインバース指数連動,1
2023/04,1460,,ＭＡＸＩＳ　ＪＡＰＡＮ　クオリティ１５０,
2023/04,1464,11,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００レバレ,1
2023/04,1465,11,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００インバ,1
2023/04,1466,11,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブル,1
2023/04,1467,11,ＪＰＸ日経４００ブル２倍上場投信（レバレ,1
2023/04,1468,11,ＪＰＸ日経４００ベア上場投信（インバース,1
2023/04,1469,11,ＪＰＸ日経４００ベア２倍上場投信（ダブル,1
2023/04,1470,,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００レバレッジ・イン,
2023/04,1471,,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００インバース・イン,
2023/04,1472,11,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース,1
2023/04,1473,11,Ｏｎｅ　ＥＴＦ　トピックス,1
2023/04,1474,11,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,1
2023/04,1475,11,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,1
2023/04,1476,11,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,1
2023/04,1477,11,ｉシェアーズ　ＭＳＣＩ　日本株最小分散,1
2023/04,1478,11,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利,1
2023/04,1479,11,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備,1
2023/04,1480,11,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指,1
2023/04,1481,11,上場インデックスファンド日本経済貢献株,1
2023/04,1482,11,ｉシェアーズ・コア　米国債７－１０年　Ｅ,1
2023/04,1483,11,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投,1
2023/04,1484,11,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人,1
2023/04,1485,11,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投,1
2023/04,1486,11,上場インデックスファンド米国債券（為替ヘ,1
2023/04,1487,11,上場インデックスファンド米国債券（為替ヘ,1
2023/04,1488,11,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,1
2023/04,1489,11,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５,1
2023/04,1490,11,上場インデックスファンドＭＳＣＩ日本株高配当,1
2023/04,1491,12,中外鉱業,1
2023/04,1492,11,ＭＡＸＩＳ　ＪＰＸ　日経中小型株指数上場,1
2023/04,1493,11,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,1
2023/04,1494,11,Ｏｎｅ　ＥＴＦ　高配当日本株,1
2023/04,1495,11,上場インデックスファンドアジアリート,1
2023/04,1496,11,ｉシェアーズ　米ドル建て投資適格社債　Ｅ,1
2023/04,1497,11,ｉシェアーズ　米ドル建てハイイールド社債,1
2023/04,1498,11,Ｏｎｅ　ＥＴＦ　ＥＳＧ,1
2023/04,1499,11,ＭＡＸＩＳ日本株高配当７０マーケットニュ,1
2023/04,1501,,三井鉱山,
2023/04,1503,,住石マテリアルズ,
2023/04,1505,,北海道炭砿汽船,
2023/04,1514,12,住石ホールディングス,1
2023/04,1515,11,日鉄鉱業,1
2023/04,1518,11,三井松島ホールディングス,1
2023/04,1533,,オキシデンタル・ペトロリアム,
2023/04,1534,,ブロークンヒルプロプライアタリ,
2023/04,1535,,シュルンベルジェ,
2023/04,1540,11,純金上場信託（現物国内保管型）,1
2023/04,1541,11,純プラチナ上場信託（現物国内保管型）,1
2023/04,1542,11,純銀上場信託（現物国内保管型）,1
2023/04,1543,11,純パラジウム上場信託（現物国内保管型）,1
2023/04,1544,,上場インデックスファンド日本株式（ＭＳＣ,
2023/04,1545,11,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動,1
2023/04,1546,11,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価,1
2023/04,1547,11,上場インデックスファンド米国株式（Ｓ＆Ｐ,1
2023/04,1548,,上場インデックスファンド中国Ｈ株（ハンセ,
2023/04,1549,,上場インデックスファンドＮｉｆｔｙ５０先,
2023/04,1550,11,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）,1
2023/04,1551,11,東証スタンダードＴＯＰ２０ＥＴＦ,1
2023/04,1552,11,国際のＥＴＦ　ＶＩＸ短期先物指数,1
2023/04,1553,31,ＭＡＸＩＳ　Ｓ＆Ｐ東海上場投信,3
