期間,株式コード,上場コード,銘柄名称,終値
2022/04,1301,011,極洋,3265
2022/04,1305,011,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算,2022
2022/04,1306,011,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上,2000
2022/04,1307,,ＩシェアーズＴＯＰＩＸ,
2022/04,1308,011,上場インデックスファンドＴＯＰＩＸ,1977.5
2022/04,1309,011,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中,40500
2022/04,1310,,ダイワ上場投信－トピックス・コア３０,
2022/04,1311,011,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒ,933.9
2022/04,1312,011,ＮＥＸＴ　ＦＵＮＤＳ　ラッセル野村小型コ,18985
2022/04,1314,,上場インデックスファンドＳ＆Ｐ日本新興株,
2022/04,1315,,ＩシェアーズＳ＆Ｐ／ＴＯＰＩＸ１５０,
2022/04,1316,,上場インデックスファンドＴＯＰＩＸ１００,
2022/04,1317,,上場インデックスファンドＴＯＰＩＸ　Ｍｉ,
2022/04,1318,,上場インデックスファンドＴＯＰＩＸ　Ｓｍ,
2022/04,1319,012,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数,336.1
2022/04,1320,011,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算,27895
2022/04,1321,011,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上,27970
2022/04,1322,011,上場インデックスファンド中国Ａ株（パンダ,7450
2022/04,1323,011,ＮＥＸＴ　ＦＵＮＤＳ　南アフリカ株式指数・ＦＴＳＥ／ＪＳＥ,563.4
2022/04,1324,011,ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数連動,
2022/04,1325,011,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・,208.3
2022/04,1328,011,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投,6120
2022/04,1329,011,ｉシェアーズ・コア　日経２２５　ＥＴＦ,27895
2022/04,1330,011,上場インデックスファンド２２５,28005
2022/04,1331,,マルハニチロ食品,
2022/04,1332,011,ニッスイ,574
2022/04,1333,011,マルハニチロ,2396
2022/04,1334,,マルハニチロホールディングス,
2022/04,1343,011,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ指数連,2141
2022/04,1344,,ＭＡＸＩＳ　トピックス・コア３０上場投信,
2022/04,1345,011,上場インデックスファンドＪリート（東証Ｒ,2008.5
2022/04,1346,011,ＭＡＸＩＳ　日経２２５上場投信,27880
2022/04,1347,,上場インデックスファンドＦＴＳＥ日本グリ,
