期間,株式コード,上場コード,銘柄名称,終値
2022/04,1348,011,ＭＡＸＩＳ　トピックス上場投信,1981.5
2022/04,1351,,宝幸,
2022/04,1352,012,ホウスイ,1217
2022/04,1356,011,ＴＯＰＩＸベア２倍上場投信,1039
2022/04,1357,011,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・イ,409
2022/04,1358,011,上場インデックスファンド日経レバレッジ指,25245
2022/04,1360,011,日経平均ベア２倍上場投信,999.1
2022/04,1364,011,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,17580
2022/04,1365,011,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・イ,20970
2022/04,1366,011,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバー,1068
2022/04,1367,011,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（,17890
2022/04,1368,011,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバ,1513
2022/04,1369,011,Ｏｎｅ　ＥＴＦ　日経２２５,27055
2022/04,1375,011,雪国まいたけ,1047
2022/04,1376,012,カネコ種苗,1793
2022/04,1377,011,サカタのタネ,4375
2022/04,1378,,雪国まいたけ,
2022/04,1379,011,ホクト,2039
2022/04,1380,012,秋川牧園,1060
2022/04,1381,012,アクシーズ,3235
2022/04,1382,012,ホーブ,980
2022/04,1383,012,ベルグアース,2520
2022/04,1384,012,ホクリヨウ,664
2022/04,1397,011,ＳＭＤＡＭ　日経２２５上場投信,27045
2022/04,1398,011,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,2029
2022/04,1399,011,上場インデックスファンドＭＳＣＩ日本株高,1543.5
2022/04,1400,014,ルーデン・ホールディングス,126
2022/04,1401,014,エムビーエス,532
2022/04,1405,,サーラ住宅,
2022/04,1407,012,ウエストホールディングス,5220
2022/04,1413,011,ヒノキヤグループ,2337
2022/04,1414,011,ショーボンドホールディングス,5480
2022/04,1417,011,ミライト・ワン,1825
2022/04,1418,012,インターライフホールディングス,175
2022/04,1419,011,タマホーム,2542
2022/04,1420,012,サンヨーホームズ,729
2022/04,1429,011,日本アクア,625
2022/04,1430,011,ファーストコーポレーション,789
2022/04,1431,014,Ｌｉｂ　Ｗｏｒｋ,750
2022/04,1433,011,ベステラ,1153
2022/04,1434,012,ＪＥＳＣＯホールディングス,471
2022/04,1435,011,Ｒｏｂｏｔ　Ｈｏｍｅ,200
2022/04,1436,014,フィット,828
2022/04,1438,032,岐阜造園,1009
2022/04,1439,012,安江工務店,914
2022/04,1443,012,技研ホールディングス,224
2022/04,1444,033,ニッソウ,1450
2022/04,1446,012,キャンディル,512
2022/04,1447,014,ＩＴｂｏｏｋホールディングス,463
2022/04,1448,,スペースバリューホールディング,
2022/04,1450,012,田中建設工業,1635
2022/04,1451,012,ＫＨＣ,609
2022/04,1456,011,ｉＦｒｅｅＥＴＦ　日経平均インバース・イ,4380
2022/04,1457,011,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（,5130
2022/04,1458,011,楽天ＥＴＦ－日経レバレッジ指数連動型,15960
2022/04,1459,011,楽天ＥＴＦ－日経ダブルインバース指数連動,1640
2022/04,1460,,ＭＡＸＩＳ　ＪＡＰＡＮ　クオリティ１５０,
2022/04,1464,011,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００レバレ,14280
2022/04,1465,011,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００インバ,5050
2022/04,1466,011,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブル,1958
2022/04,1467,011,ＪＰＸ日経４００ブル２倍上場投信（レバレ,13530
2022/04,1468,011,ＪＰＸ日経４００ベア上場投信（インバース,4755
2022/04,1469,011,ＪＰＸ日経４００ベア２倍上場投信（ダブル,1939
2022/04,1470,,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００レバレッジ・イン,
2022/04,1471,,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００インバース・イン,
2022/04,1472,011,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース,785
2022/04,1473,011,Ｏｎｅ　ＥＴＦ　トピックス,1945
2022/04,1474,011,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,17375
2022/04,1475,011,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,1955
2022/04,1476,011,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,2053
2022/04,1477,011,ｉシェアーズ　ＭＳＣＩ　日本株最小分散,1840
2022/04,1478,011,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利,2360
2022/04,1479,011,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備,23700
2022/04,1480,011,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指,18750
2022/04,1481,011,上場インデックスファンド日本経済貢献株,1975
2022/04,1482,011,ｉシェアーズ・コア　米国債７－１０年　Ｅ,2083
2022/04,1483,011,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投,2016
2022/04,1484,011,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人,1950
2022/04,1485,011,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投,29600
2022/04,1486,011,上場インデックスファンド米国債券（為替ヘ,22455
2022/04,1487,011,上場インデックスファンド米国債券（為替ヘ,16200
2022/04,1488,011,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,2041.5
2022/04,1489,011,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５,39990
2022/04,1490,011,上場インデックスファンドＭＳＣＩ日本株高配当,
2022/04,1491,012,中外鉱業,33
2022/04,1492,011,ＭＡＸＩＳ　ＪＰＸ　日経中小型株指数上場,15100
2022/04,1493,011,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,15155
2022/04,1494,011,Ｏｎｅ　ＥＴＦ　高配当日本株,19450
2022/04,1495,011,上場インデックスファンドアジアリート,11500
2022/04,1496,011,ｉシェアーズ　米ドル建て投資適格社債　Ｅ,2180
2022/04,1497,011,ｉシェアーズ　米ドル建てハイイールド社債,2128
2022/04,1498,011,Ｏｎｅ　ＥＴＦ　ＥＳＧ,14660
2022/04,1499,011,ＭＡＸＩＳ日本株高配当７０マーケットニュ,8772
2022/04,1501,,三井鉱山,
2022/04,1503,,住石マテリアルズ,
2022/04,1514,012,住石ホールディングス,183
2022/04,1515,011,日鉄鉱業,6480
2022/04,1518,011,三井松島ホールディングス,2041
2022/04,1540,011,純金上場信託（現物国内保管型）,7458
2022/04,1541,011,純プラチナ上場信託（現物国内保管型）,3595
2022/04,1542,011,純銀上場信託（現物国内保管型）,8951
2022/04,1543,011,純パラジウム上場信託（現物国内保管型）,86210
2022/04,1544,,上場インデックスファンド日本株式（ＭＳＣ,
2022/04,1545,011,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動,17400
2022/04,1546,011,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価,42670
2022/04,1547,011,上場インデックスファンド米国株式（Ｓ＆Ｐ,5968
2022/04,1548,,上場インデックスファンド中国Ｈ株（ハンセ,
2022/04,1549,,上場インデックスファンドＮｉｆｔｙ５０先,
2022/04,1550,011,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）,3820
2022/04,1551,011,東証スタンダードＴＯＰ２０ＥＴＦ,4441
2022/04,1552,011,国際のＥＴＦ　ＶＩＸ短期先物指数,2483
2022/04,1554,011,上場インデックスファンド世界株式（ＭＳＣ,3224
2022/04,1555,011,上場インデックスファンド豪州リート（Ｓ＆,1977
2022/04,1556,,上場インデックスファンド日経中国関連株５,
2022/04,1559,011,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０,3280
2022/04,1560,011,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マ,4490
2022/04,1561,,国際のＥＴＦ　ＶＩＸ中期先物指数,
2022/04,1562,,ＹＯＵＲＭＩＲＡＩ　アジア関連日本株指数,
2022/04,1563,011,東証グロース・コアＥＴＦ,2282
2022/04,1565,,日経カバードコール指数上場投信,
2022/04,1566,011,上場インデックスファンド新興国債券,43180
2022/04,1567,,ＭＡＸＩＳトピックスリスクコントロール（,
2022/04,1568,011,ＴＯＰＩＸブル２倍上場投信,23070
2022/04,1569,011,ＴＯＰＩＸベア上場投信,2144.5
2022/04,1570,011,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ,13600
2022/04,1571,011,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース,1020
2022/04,1572,011,中国Ｈ株ブル２倍上場投信,5050
2022/04,1573,011,中国Ｈ株ベア上場投信,11070
2022/04,1574,,ＭＡＸＩＳトピックスリスクコントロール（,
2022/04,1577,011,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７,23655
2022/04,1578,011,上場インデックスファンド日経２２５（ミニ,2133
2022/04,1579,011,日経平均ブル２倍上場投信,14540
2022/04,1580,011,日経平均ベア上場投信,2715.5
2022/04,1585,011,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉ,1520
2022/04,1586,011,上場インデックスファンドＴＯＰＩＸ　Ｅｘ,1624
2022/04,1591,011,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデッ,17500
2022/04,1592,011,上場インデックスファンドＪＰＸ日経インデ,1583
2022/04,1593,011,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００,17520
2022/04,1595,011,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,2019
2022/04,1596,011,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆ,1641
2022/04,1597,011,ＭＡＸＩＳ　Ｊリート上場投信,2030.5
2022/04,1598,,ＮＥＸＴ　ＦＵＮＤＳ　Ｒ／Ｎファンダメン,
2022/04,1599,011,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００,17315
2022/04,1601,,帝国石油,
2022/04,1603,,アラビア石油,
2022/04,1604,,国際石油開発,
2022/04,1605,011,ＩＮＰＥＸ,1532
2022/04,1606,,日本海洋掘削,
2022/04,1610,,ダイワ上場投信－東証電気機器株価指数,
2022/04,1611,,ダイワ上場投信－東証輸送用機器株価指数,
2022/04,1612,,ダイワ上場投信－東証銀行業株価指数,
2022/04,1613,,東証電気機器株価指数連動型上場投資信託,
2022/04,1614,,東証輸送用機器株価指数連動型上場投資信託,
2022/04,1615,011,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数,170.5
2022/04,1617,011,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－,27645
2022/04,1618,011,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（Ｔ,13300
2022/04,1619,011,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰ,20670
2022/04,1620,011,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰ,24705
2022/04,1621,011,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ,23715
2022/04,1622,011,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（Ｔ,24100
2022/04,1623,011,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰ,17245
2022/04,1624,011,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－,37490
2022/04,1625,011,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰ,26865
2022/04,1626,011,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービス,28525
2022/04,1627,011,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰ,6130
2022/04,1628,011,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰ,15075
2022/04,1629,011,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰ,45990
2022/04,1630,011,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－,20675
2022/04,1631,011,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－,8910
2022/04,1632,011,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（,14595
2022/04,1633,011,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ,29650
2022/04,1634,,ダイワ上場投信・ＴＯＰＩＸ－１７　食品,
2022/04,1635,,ダイワ上場投信・ＴＯＰＩＸ－１７　エネル,
2022/04,1636,,ダイワ上場投信・ＴＯＰＩＸ－１７　建設・,
2022/04,1637,,ダイワ上場投信・ＴＯＰＩＸ－１７　素材・,
2022/04,1638,,ダイワ上場投信・ＴＯＰＩＸ－１７　医薬品,
2022/04,1639,,ダイワ上場投信・ＴＯＰＩＸ－１７　自動車,
2022/04,1640,,ダイワ上場投信・ＴＯＰＩＸ－１７　鉄鋼・,
2022/04,1641,,ダイワ上場投信・ＴＯＰＩＸ－１７　機械,
2022/04,1642,,ダイワ上場投信・ＴＯＰＩＸ－１７　電機・,
2022/04,1643,,ダイワ上場投信・ＴＯＰＩＸ－１７　情報通,
2022/04,1644,,ダイワ上場投信・ＴＯＰＩＸ－１７　電力・,
2022/04,1645,,ダイワ上場投信・ＴＯＰＩＸ－１７　運輸・,
2022/04,1646,,ダイワ上場投信・ＴＯＰＩＸ－１７　商社・,
2022/04,1647,,ダイワ上場投信・ＴＯＰＩＸ－１７　小売,
2022/04,1648,,ダイワ上場投信・ＴＯＰＩＸ－１７　銀行,
2022/04,1649,,ダイワ上場投信・ＴＯＰＩＸ－１７　金融（,
2022/04,1650,,ダイワ上場投信・ＴＯＰＩＸ－１７　不動産,
2022/04,1651,011,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ高配当４０指,1226
2022/04,1652,011,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株女性活躍,2283
2022/04,1653,011,ｉＦｒｅｅＥＴＦ　ＭＳＣＩジャパンＥＳＧ,2468.5
2022/04,1654,011,ｉＦｒｅｅＥＴＦ　ＦＴＳＥ　Ｂｌｏｓｓｏ,1497
2022/04,1655,011,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　Ｅ,394.5
2022/04,1656,011,ｉシェアーズ・コア　米国債７－１０年　Ｅ,2764
2022/04,1657,011,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（,3425
2022/04,1658,011,ｉシェアーズ・コア　ＭＳＣＩ　新興国株,2258
2022/04,1659,011,ｉシェアーズ　米国リート　ＥＴＦ,3090
2022/04,1660,011,ＭＡＸＩＳ高利回りＪリート上場投信,11075
2022/04,1661,,関東天然瓦斯開発,
2022/04,1662,011,石油資源開発,2567
2022/04,1663,011,Ｋ＆Ｏエナジーグループ,1663
2022/04,1670,,ＭＡＸＩＳ　Ｓ＆Ｐ三菱系企業群上場投信,
2022/04,1671,011,ＷＴＩ原油価格連動型上場投信,2776
2022/04,1677,011,上場インデックスファンド海外債券（ＦＴＳＥ　Ｗ,52000
2022/04,1678,011,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０連動,254.4
2022/04,1679,011,Ｓｉｍｐｌｅ－Ｘ　ＮＹダウ・ジョーンズ・,37970
2022/04,1680,011,上場インデックスファンド海外先進国株式（,3902
2022/04,1681,011,上場インデックスファンド海外新興国株式（,1695
2022/04,1682,011,ＮＥＸＴ　ＦＵＮＤＳ　日経・ＪＰＸ白金指,203.1
2022/04,1683,,Ｏｎｅ　ＥＴＦ　国内金先物,
2022/04,1698,011,上場インデックスファンド日本高配当（東証,1944
2022/04,1699,011,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ原油イ,349.6
2022/04,1701,,昭和ＫＤＥ,
2022/04,1711,012,ＳＤＳホールディングス,397
2022/04,1712,011,ダイセキ環境ソリューション,1044
2022/04,1716,011,第一カッター興業,1362
2022/04,1717,012,明豊ファシリティワークス,699
2022/04,1718,012,美樹工業,3900
2022/04,1719,011,安藤・間,904
2022/04,1720,011,東急建設,604
2022/04,1721,011,コムシスホールディングス,2707
2022/04,1722,,ミサワホーム,
2022/04,1723,012,日本電技,3495
2022/04,1724,012,シンクレイヤ,835
2022/04,1725,,フジタ,
2022/04,1726,011,ビーアールホールディングス,292
2022/04,1730,012,麻生フオームクリート,474
2022/04,1736,012,オーテック,2160
2022/04,1737,,三井金属エンジニアリング,
2022/04,1739,014,メルディアＤＣ,705
2022/04,1740,,極東興和,
2022/04,1742,,セコムテクノサービス,
2022/04,1743,012,コーアツ工業,3150
2022/04,1746,,光和建設,
2022/04,1752,,富士通ネットワークソリューショ,
2022/04,1755,,ＪＦＥ工建,
2022/04,1757,012,中小企業ホールディングス,46
2022/04,1758,012,太洋基礎工業,4640
2022/04,1762,011,高松コンストラクショングループ,2172
2022/04,1764,012,工藤建設,2439
2022/04,1766,011,東建コーポレーション,8660
2022/04,1767,,ＯＫＩクロステック,
2022/04,1768,012,ソネック,1000
2022/04,1770,012,藤田エンジニアリング,854
2022/04,1775,012,富士古河Ｅ＆Ｃ,2571
2022/04,1776,012,三井住建道路,1063
2022/04,1778,,古河総合設備,
2022/04,1780,011,ヤマウラ,934
2022/04,1783,012,アジアゲートホールディングス,56
2022/04,1786,011,オリエンタル白石,235
2022/04,1787,012,ナカボーテック,4830
2022/04,1788,012,三東工業社,2718
2022/04,1789,012,ＥＴＳホールディングス,725
2022/04,1791,,ニチハマテックス,
2022/04,1792,,みらい建設グループ,
2022/04,1793,012,大本組,6020
2022/04,1795,012,マサル,3110
2022/04,1796,,トヨタウッドユーホーム,
2022/04,1798,012,守谷商会,2167
2022/04,1799,012,第一建設工業,1285
2022/04,1801,011,大成建設,3525
2022/04,1802,011,大林組,896
2022/04,1803,011,清水建設,683
2022/04,1804,,佐藤工業,
2022/04,1805,011,飛島建設,1023
2022/04,1806,,ＡＣリアルエステート,
2022/04,1807,012,佐藤渡辺,2720
2022/04,1808,011,長谷工コーポレーション,1423
2022/04,1809,,冨士工,
2022/04,1810,011,松井建設,647
2022/04,1811,012,銭高組,3750
2022/04,1812,011,鹿島,1450
2022/04,1813,011,不動テトラ,1553
2022/04,1814,011,大末建設,1302
2022/04,1815,011,鉄建建設,1840
2022/04,1816,,安藤建設,
2022/04,1817,,ＫＣ,
2022/04,1818,,日産建設,
2022/04,1819,,日鉄テックスエンジ,
2022/04,1820,011,西松建設,3825
2022/04,1821,011,三井住友建設,422
2022/04,1822,011,大豊建設,4460
2022/04,1823,,住友建設,
2022/04,1824,,前田建設工業,
2022/04,1825,,環境建設,
2022/04,1826,012,佐田建設,446
2022/04,1827,012,ナカノフドー建設,320
2022/04,1828,012,田辺工業,906
2022/04,1829,,大和建設,
2022/04,1832,,岡崎工業,
2022/04,1833,011,奥村組,3060
2022/04,1834,,大和小田急建設,
2022/04,1835,011,東鉄工業,2343
2022/04,1836,,大日本土木,
2022/04,1837,,青山管財,
2022/04,1838,,古久根建設,
2022/04,1839,,真柄建設,
2022/04,1840,012,土屋ホールディングス,167
2022/04,1841,012,サンユー建設,867
2022/04,1842,,島藤建設工業,
2022/04,1843,,多田建設,
2022/04,1844,012,大盛工業,195
2022/04,1846,,鈴縫工業,
2022/04,1847,011,イチケン,1831
2022/04,1848,012,富士ピー・エス,487
2022/04,1849,,東海興業,
2022/04,1850,012,南海辰村建設,313
2022/04,1851,,大木建設,
2022/04,1852,011,浅沼組,5090
2022/04,1853,012,森組,299
2022/04,1854,,新井組,
2022/04,1855,,ＴＣプロパティーズ,
2022/04,1858,,井上工業,
2022/04,1859,,辰村組,
2022/04,1860,011,戸田建設,746
2022/04,1861,011,熊谷組,2717
2022/04,1862,,横河工事,
2022/04,1863,,テトラ,
2022/04,1865,,青木あすなろ建設,
2022/04,1866,012,北野建設,2140
2022/04,1867,012,植木組,1461
2022/04,1868,,三井ホーム,
2022/04,1870,011,矢作建設工業,801
2022/04,1871,011,ピーエス三菱,564
2022/04,1872,,アゼル,
2022/04,1873,011,日本ハウスホールディングス,404
2022/04,1875,,青木マリーン,
2022/04,1877,,川田建設,
2022/04,1878,011,大東建託,12520
2022/04,1879,011,新日本建設,714
2022/04,1880,,Ｔｕｒｔｌｅ　Ｃｏｎｓｕｌｔｉ,
2022/04,1881,,ＮＩＰＰＯ,
2022/04,1882,011,東亜道路工業,5000
2022/04,1883,,前田道路,
2022/04,1884,011,日本道路,7230
2022/04,1885,011,東亜建設工業,2846
2022/04,1886,,青木建設,
2022/04,1887,011,日本国土開発,535
2022/04,1888,011,若築建設,1939
2022/04,1889,,あおみ建設,
2022/04,1890,011,東洋建設,931
2022/04,1891,,大都工業,
2022/04,1893,011,五洋建設,637
2022/04,1895,,大成ロテック,
2022/04,1896,,大林道路,
2022/04,1897,012,金下建設,3275
2022/04,1898,011,世紀東急工業,738
2022/04,1899,011,福田組,4600
2022/04,1900,,白石,
2022/04,1904,012,大成温調,1826
2022/04,1905,012,テノックス,774
2022/04,1907,,東北ミサワホーム,
2022/04,1909,012,日本ドライケミカル,1676
2022/04,1911,011,住友林業,1999
2022/04,1914,012,日本基礎技術,768
2022/04,1916,,日成ビルド工業,
2022/04,1917,,ニツセキハウス工業,
2022/04,1919,,ヤマダホームズ,
2022/04,1920,,殖産住宅,
2022/04,1921,012,巴コーポレーション,466
2022/04,1922,,大成ユーレック,
2022/04,1923,,ミサワホーム,
2022/04,1924,,パナソニックホームズ,
2022/04,1925,011,大和ハウス工業,3143
2022/04,1926,011,ライト工業,1942
2022/04,1928,011,積水ハウス,2259
2022/04,1929,011,日特建設,705
2022/04,1930,011,北陸電気工事,767
2022/04,1931,,日本電通,
2022/04,1932,,ミライト・テクノロジーズ,
2022/04,1933,,ＳＹＳＫＥＮ,
2022/04,1934,011,ユアテック,688
2022/04,1935,,ＴＴＫ,
2022/04,1937,,西部電気工業,
2022/04,1938,011,日本リーテック,1131
2022/04,1939,011,四電工,1755
2022/04,1940,,つうけん,
2022/04,1941,011,中電工,2090
2022/04,1942,011,関電工,824
2022/04,1943,,ミライト,
2022/04,1944,011,きんでん,1538
2022/04,1945,011,東京エネシス,979
2022/04,1946,011,トーエネック,3325
2022/04,1947,,日本コムシス,
2022/04,1948,012,弘電社,4165
2022/04,1949,011,住友電設,2224
2022/04,1950,011,日本電設工業,1616
2022/04,1951,011,エクシオグループ,2167
2022/04,1952,011,新日本空調,1801
2022/04,1954,011,日本工営,2910
2022/04,1955,,東電通,
2022/04,1956,,ＮＤＳ,
2022/04,1957,,保安工業,
2022/04,1958,,サンワコムシスエンジニアリング,
2022/04,1959,011,九電工,2944
2022/04,1960,012,サンテック,670
2022/04,1961,011,三機工業,1469
2022/04,1962,,エルゴテック,
2022/04,1963,011,日揮ホールディングス,1475
2022/04,1964,011,中外炉工業,1478
2022/04,1965,012,テクノ菱和,849
2022/04,1966,012,高田工業所,749
2022/04,1967,012,ヤマト,731
2022/04,1968,011,太平電業,2713
2022/04,1969,011,高砂熱学工業,1699
2022/04,1970,,日立プラントテクノロジー,
2022/04,1971,012,中央ビルト工業,569
2022/04,1972,012,三晃金属工業,2603
2022/04,1973,011,ＮＥＣネッツエスアイ,1850
2022/04,1974,,宮地エンジニアリング,
2022/04,1975,011,朝日工業社,1573
2022/04,1976,011,明星工業,680
2022/04,1978,,アタカ大機,
2022/04,1979,011,大気社,3210
2022/04,1980,011,ダイダン,2122
2022/04,1981,012,協和日成,1309
2022/04,1982,011,日比谷総合設備,1907
2022/04,1983,,東芝プラントシステム,
2022/04,1987,,ソルコム,
2022/04,1988,,ショーボンド建設,
2022/04,1989,,北陸電話工事,
2022/04,1992,012,神田通信機,1070
2022/04,1993,,ニッタン,
2022/04,1994,012,高橋カーテンウォール工業,526
2022/04,1996,,三菱建設,
2022/04,1997,012,暁飯島工業,1317
2022/04,2001,011,ニップン,1690
2022/04,2002,011,日清製粉グループ本社,1738
2022/04,2003,012,日東富士製粉,4210
2022/04,2004,011,昭和産業,2624
2022/04,2006,,東福製粉,
2022/04,2008,,増田製粉所,
2022/04,2009,012,鳥越製粉,646
2022/04,2051,,日本農産工業,
2022/04,2052,,協同飼料,
2022/04,2053,011,中部飼料,1023
2022/04,2055,012,日和産業,280
2022/04,2056,,日本配合飼料,
2022/04,2057,,雪印種苗,
2022/04,2059,,ユニ・チャームペットケア,
2022/04,2060,011,フィード・ワン,663
2022/04,2102,,台糖,
2022/04,2107,012,東洋精糖,983
2022/04,2108,011,日本甜菜製糖,1659
2022/04,2109,011,ＤＭ三井製糖ホールディングス,1932
2022/04,2111,,フジ製糖,
2022/04,2112,012,塩水港精糖,212
2022/04,2114,012,フジ日本精糖,480
2022/04,2116,,日新製糖,
2022/04,2117,011,ウェルネオシュガー,1712
2022/04,2120,011,ＬＩＦＵＬＬ,227
2022/04,2121,011,ＭＩＸＩ,2244
2022/04,2122,012,インタースペース,970
2022/04,2123,,シミックファーマサイエンス,
2022/04,2124,011,ジェイエイシーリクルートメント,1833
2022/04,2126,,ＧＣＡホールディングス,
